,,,ATK,RVS,MSS,,,,,
#,Card Name,Slot,Attack Damage,Reverse Damage,Miss Damage,Stun,Rarity,Rarity Symbol,Category,Effect
1,Wild Swing,1/2/3,5,4,4,,Rare,★,Brawler,"If defended, attacker is Stunned."
2,Eye Rake,1,1,3,2,Y,Common,●,Heel,"Roll off against opponent: On win apply Stun to opponent. On lose, attacker discards 1 card at random."
3,Low Blow,2/3,7,2,3,Y,Rare,★,Heel,"Roll off against opponent: On win apply Stun to opponent. On lose, attacker adds 1 Fail to their Pinfall deck."
4,Chair Shot,3,9,2,2,Y,Special,❋,Heel,"Roll off against opponent: On win apply stun to opponent and add 1 Kickout card to your Pinfall deck. On lose, attacker adds 2 Fails to their Pinfall deck."
5,Sharpshooter,3,6,4,2,Y,Rare,★,Technical,"Roll off against opponent: On win, Stun + opponent discards 1."
6,Big Boot,2/3,6,3,3,,Uncommon,◆,Brawler,
7,Headbutt,2/3,5,6,6,,Uncommon,◆,Brawler,"On success, attacker takes 3 self-damage."
8,Clothesline,1/3,4,4,1,,Common,●,Brawler,"When played in Slot 1, attacker has Disadvantage."
9,Spear,1/3,9,7,7,,Special,❋,Brawler,"On success, immediately Pin."
10,Cheap Shot,1/2,3,4,3,,Uncommon,◆,Heel,"On success, defender discards a card."
11,Ref Distraction,1/2,0,0,0,,Common,●,Heel,"The next Heel move you play this turn, you cannot lose the roll off."
12,Elbow Drop,2/3,6,4,6,,Uncommon,◆,High-Flyer,"If played after a Taunt, defender has Disadvantage."
13,Frog Splash,2/3,6,3,7,,Uncommon,◆,High-Flyer,"If played after a Taunt, defender has Disadvantage."
14,Hurricanrana,1,2,1,3,,Uncommon,◆,High-Flyer,
15,450 Splash,3,8,3,7,,Rare,★,High-Flyer,"On success, opponent adds 1 Fail to their Pinfall deck. If Dodged, discard a card at random."
16,Second Rope Elbow Drop,2/3,7,2,4,,Rare,★,High-Flyer,"When played in Slot 3, defender has Disadvantage."
17,Shooting Star Press,3,8,3,7,,Special,❋,High-Flyer,"On success, immediately Pin."
18,German Suplex,2,5,5,2,,Uncommon,◆,Power,"On success, add 1 Fail to opponent's Pinfall deck."
19,Spinebuster,2/3,6,5,3,,Common,●,Power,
20,Suplex,2,3,5,2,,Common,●,Power,"On success, add 1 Fail to opponent's Pinfall deck."
21,Bear Hug,2,3,2,2,,Rare,★,Power,"Roll off against opponent: On win, add 1 Kickout! to your Pinfall deck."
22,Powerbomb,3,7,6,6,,Rare,★,Power,"On success, add 1 Fail to opponent's Pinfall deck."
23,Chokeslam,3,9,6,6,,Special,❋,Power,"On success, immediately Pin."
24,Dropkick,2/3,4,3,4,,Uncommon,◆,Striker,"If played in Slot 3, +2 ATK."
25,Body Blow,1/2,3,2,2,,Common,●,Striker,"Draw a maneuver card."
26,Chop,1,1,1,0,,Common,●,Striker,"Draw a maneuver card."
27,Jab,1,1,1,0,,Common,●,Striker,"Next Attack this turn gains +1 ATK."
28,Super Kick,3,9,5,6,,Special,❋,Striker,"On success, immediately Pin."
29,Armbar,2,3,2,1,,Uncommon,◆,Technical,"Roll off against opponent: On win, add 1 Kickout! to your Pinfall deck."
30,Irish Whip,1/2,0,0,0,,Common,●,Technical,"Next Attack this turn gains +2 ATK."
31,Sleeper Hold,2/3,2,2,0,,Common,●,Technical,
32,Trip,1,1,1,1,,Rare,★,Technical,"On success, opponent discards 1 at random."
33,Figure Four Leg Lock,3,6,8,3,Y,Special,❋,Technical,"Roll off against opponent 3 times — add a Fail card to the defender's Pinfall deck for each win for the attacker."
